Food_type,food_category,Serving Weight (g),Protein (g),Fat (g),Sugars (g),calorie (kcal),Carbohydrate (g)
apple_pie,apple_pie,114,3,16,13,300,40
baby_back_ribs,baby_back_ribs,112,21,11,0,190,0
baklava,baklava,56,4,7,15,230,37
beef_carpaccio,beef_carpaccio,78,13,13,0.7,181,1
beef_tartare,beef_tartare,224,33,44,1.8,552,4
beet_salad,beet_salad,259,11,52,18,598,6
beignets,beignets,45,2.46,9.08,14,188,24.2
bibimbap,bibimbap,162,8.86,4.67,2.58,130,13.9
bread_pudding,bread_pudding,99,5,6,27,230,38
breakfast_burrito,breakfast_burrito,155,8,8,1.01,240,28
bruschetta,bruschetta,73.1,"3,27",9.18,1.44,1.84,9.18
caesar_salad,caesar_salad,254,15,40,3.99,480,19
cannoli,cannoli,95,6,14,37,312,40
caprese_salad,caprese_salad,142,5,17,10,210,12
carrot_cake,carrot_cake,57,2,11,23,220,29
ceviche,ceviche,113,2.99,0.497,2.99,59.9,12
cheese_plate,cheese_plate,170,45,50,0.5,662,8
cheesecake,cheesecake,142,8,26,33,470,50
chicken_curry,chicken_curry,140,19,13,3,220,7
chicken_quesadilla,chicken_quesadilla,113,18,10,0,270,27
chicken_wings,chicken_wings,113,21,21,0,320,0
chocolate_cake,chocolate_cake,85,3,13,39,330,51
chocolate_mousse,chocolate_mousse,84,1,20,11,226,16
churros,churros,26,0.5,7.7,4,103,4
clam_chowder,clam_chowder,121,5,1.5,1,79.9,12
club_sandwich,club_sandwich,292,41,36,4.99,710,59
crab_cakes,crab_cakes,71,7,11,1,150,7
creme_brulee,creme_brulee,103,4,19,15,250,16
croque_madame,croque_madame,363,37,38,10,721,47
cup_cakes,cup_cakes,45,0.999,6,20,160,27
deviled_eggs,deviled_eggs,56,6,7,0,160.2,0
donuts,donuts,50,2,13,18,260,32
dumplings,dumplings,142,8,6.01,6.01,182,24
edamame,edamame,85,9,4,2,90.1,7
